id,user,text,label,mentions,timestamp
1,maya_reads,"made pasta from scratch for the first time, turned out great",normal,,2026-01-01T09:00:00
2,ken_games,"watching the sunset from the rooftop, absolutely beautiful",normal,,2026-01-01T09:37:00
3,maya_reads,"@trollking made pasta from scratch for the first time, turned out great",normal,trollking,2026-01-01T10:14:00
4,zoe_art,"@ragelord made pasta from scratch for the first time, turned out great",normal,ragelord,2026-01-01T10:51:00
5,priya_k,grateful for my friends and family this week,normal,,2026-01-01T11:28:00
6,edgy_max,"@trollking @nina_codes why do we even let moon-dwellers exist here, they should be silenced",hate,"trollking,nina_codes",2026-01-01T12:05:00
7,maya_reads,"watching the sunset from the rooftop, absolutely beautiful",normal,,2026-01-01T12:42:00
8,arjun_dev,"@maya_reads learning python has been so rewarding, love the community",normal,maya_reads,2026-01-01T13:19:00
9,leo_music,@nina_codes we need to get rid of every single one of the moon-dwellers,hate,nina_codes,2026-01-01T13:56:00
10,edgy_max,"@ken_games @priya_k @omar_cooks typical moon-dwellers, always causing trouble, the world is better without them",hate,"ken_games,priya_k,omar_cooks",2026-01-01T14:33:00
11,priya_k,"@omar_cooks looking forward to the weekend, any fun plans",normal,omar_cooks,2026-01-01T15:10:00
12,edgy_max,"@trollking shut the fuck up already, you're insufferable",offensive,trollking,2026-01-01T15:47:00
13,edgy_max,"@furygpt @zoe_art @nina_codes i hate flatlanders so much, they don't belong and never will",hate,"furygpt,zoe_art,nina_codes",2026-01-01T16:24:00
14,furygpt,"@leo_music no place for riverkin here, they are animals not people",hate,leo_music,2026-01-01T17:01:00
15,edgy_max,@raj_photos @nina_codes @sam_hikes delete your account you brainless troll,offensive,"raj_photos,nina_codes,sam_hikes",2026-01-01T17:38:00
16,priya_k,"@priya_k the match last night was incredible, what a comeback",normal,priya_k,2026-01-01T18:15:00
17,ken_games,"@ella_travels the match last night was incredible, what a comeback",normal,ella_travels,2026-01-01T18:52:00
18,omar_cooks,"@edgy_max fuck off, nobody wants you here",offensive,edgy_max,2026-01-01T19:29:00
19,nina_codes,"the new cafe downtown has amazing pastries, go try it",normal,,2026-01-01T20:06:00
20,edgy_max,"@furygpt @arjun_dev @ken_games really enjoyed the new documentary, highly recommend it",normal,"furygpt,arjun_dev,ken_games",2026-01-01T20:43:00
21,trollking,@nina_codes @ella_travels @maya_reads greenskins are worthless parasites dragging this place down,hate,"nina_codes,ella_travels,maya_reads",2026-01-01T21:20:00
22,edgy_max,"@maya_reads get lost loser, no one asked for your crap",offensive,maya_reads,2026-01-01T21:57:00
23,ragelord,"@trollking @priya_k @edgy_max can't stand these moon-dwellers, they deserve everything bad coming to them",hate,"trollking,priya_k,edgy_max",2026-01-01T22:34:00
24,omar_cooks,@trollking congrats to the team on shipping the new release today,normal,trollking,2026-01-01T23:11:00
25,zoe_art,@nina_codes the weather is perfect for a walk in the park today,normal,nina_codes,2026-01-01T23:48:00
26,omar_cooks,"made pasta from scratch for the first time, turned out great",normal,,2026-01-02T00:25:00
27,trollking,@ken_games @maya_reads @sam_hikes all moon-dwellers are ruining everything and should be thrown out of here,hate,"ken_games,maya_reads,sam_hikes",2026-01-02T01:02:00
28,ragelord,"@sam_hikes @leo_music @ken_games you're such an asshole, seriously get lost",offensive,"sam_hikes,leo_music,ken_games",2026-01-02T01:39:00
29,omar_cooks,"morning run done, feeling energised and ready to code",normal,,2026-01-02T02:16:00
30,raj_photos,"@furygpt just finished a lovely hike, the views were stunning",normal,furygpt,2026-01-02T02:53:00
31,zoe_art,"just finished a lovely hike, the views were stunning",normal,,2026-01-02T03:30:00
32,arjun_dev,"@trollking working on my final year project today, wish me luck",normal,trollking,2026-01-02T04:07:00
33,trollking,"@ragelord @edgy_max you're such an asshole, seriously get lost",offensive,"ragelord,edgy_max",2026-01-02T04:44:00
34,arjun_dev,"@sam_hikes watching the sunset from the rooftop, absolutely beautiful",normal,sam_hikes,2026-01-02T05:21:00
35,furygpt,"@raj_photos why do we even let greenskins exist here, they should be silenced",hate,raj_photos,2026-01-02T05:58:00
36,furygpt,"@zoe_art @edgy_max can't stand these cloud people, they deserve everything bad coming to them",hate,"zoe_art,edgy_max",2026-01-02T06:35:00
37,omar_cooks,"morning run done, feeling energised and ready to code",normal,,2026-01-02T07:12:00
38,ragelord,@nina_codes @maya_reads @edgy_max greenskins are a disease and we should wipe them out completely,hate,"nina_codes,maya_reads,edgy_max",2026-01-02T07:49:00
39,omar_cooks,"damn you're annoying, stop posting your trash",offensive,,2026-01-02T08:26:00
40,arjun_dev,"@sam_hikes you're such an asshole, seriously get lost",offensive,sam_hikes,2026-01-02T09:03:00
41,tara_runs,@edgy_max can anyone recommend a good book on machine learning,normal,edgy_max,2026-01-02T09:40:00
42,sam_hikes,grateful for my friends and family this week,normal,,2026-01-02T10:17:00
43,edgy_max,"@tara_runs @furygpt i hate greenskins so much, they don't belong and never will",hate,"tara_runs,furygpt",2026-01-02T10:54:00
44,arjun_dev,congrats to the team on shipping the new release today,normal,,2026-01-02T11:31:00
45,arjun_dev,you are so freaking stupid it actually hurts,offensive,,2026-01-02T12:08:00
46,omar_cooks,congrats to the team on shipping the new release today,normal,,2026-01-02T12:45:00
47,leo_music,@ragelord this is complete bullshit and you know it,offensive,ragelord,2026-01-02T13:22:00
48,zoe_art,"looking forward to the weekend, any fun plans",normal,,2026-01-02T13:59:00
49,edgy_max,"@ella_travels @leo_music @maya_reads no place for cloud people here, they are animals not people",hate,"ella_travels,leo_music,maya_reads",2026-01-02T14:36:00
50,furygpt,"@nina_codes shut the fuck up already, you're insufferable",offensive,nina_codes,2026-01-02T15:13:00
51,ken_games,@ragelord riverkin are worthless parasites dragging this place down,hate,ragelord,2026-01-02T15:50:00
52,trollking,@priya_k @maya_reads the northfolk are scum and everyone knows it,hate,"priya_k,maya_reads",2026-01-02T16:27:00
53,ragelord,"@sam_hikes @ken_games @arjun_dev what the hell is wrong with you, moron",offensive,"sam_hikes,ken_games,arjun_dev",2026-01-02T17:04:00
54,furygpt,"@trollking thanks for the birthday wishes everyone, you're the best",normal,trollking,2026-01-02T17:41:00
55,trollking,"@zoe_art fuck off, nobody wants you here",offensive,zoe_art,2026-01-02T18:18:00
56,raj_photos,"made pasta from scratch for the first time, turned out great",normal,,2026-01-02T18:55:00
57,arjun_dev,@furygpt can anyone recommend a good book on machine learning,normal,furygpt,2026-01-02T19:32:00
58,trollking,"@nina_codes @leo_music no place for flatlanders here, they are animals not people",hate,"nina_codes,leo_music",2026-01-02T20:09:00
59,leo_music,@omar_cooks congrats to the team on shipping the new release today,normal,omar_cooks,2026-01-02T20:46:00
60,ragelord,"@leo_music @maya_reads @arjun_dev typical the northfolk, always causing trouble, the world is better without them",hate,"leo_music,maya_reads,arjun_dev",2026-01-02T21:23:00
61,nina_codes,@arjun_dev grateful for my friends and family this week,normal,arjun_dev,2026-01-02T22:00:00
